Date,Open,High,Low,Close,Adj Close,Volume
2012-03-01,17023520,17257750,17020370,17198130,17198130,103983
2012-03-02,17199450,17241760,17047230,17122030,17122030,81565
2012-03-04,17109520,17138640,17099120,17128130,17128130,1889
2012-03-05,17127660,17167130,16935930,17048040,17048040,88560
2012-03-06,17048350,17089110,16628640,16742630,16742630,92360
2012-03-07,16742640,16880920,16711470,16849810,16849810,75856
2012-03-08,16849450,17039030,16828630,17017550,17017550,77869
2012-03-09,17017360,17148520,16766480,17137130,17137130,82091
2012-03-11,17147830,17148630,17115520,17131520,17131520,1245
2012-03-12,17131520,17136520,16923520,17001520,17001520,71983
2012-03-13,17000730,17056430,16619030,16758620,16758620,90173
2012-03-14,16758920,16822490,16344560,16436520,16436520,93903
2012-03-15,16435330,16665520,16360180,16579720,16579720,82617
2012-03-16,16579930,16647130,16395570,16593140,16593140,75576
2012-03-18,16592430,16606520,16567020,16604800,16604800,1603
2012-03-19,16604590,16698520,16522470,16631520,16631520,65276
2012-03-20,16630640,16642730,16415470,16499520,16499520,71343
2012-03-21,16498840,16618520,16465550,16512070,16512070,80988
2012-03-22,16512520,16562690,16280470,16466630,16466630,109815
2012-03-23,16466830,16664720,16420830,16612640,16612640,93425
2012-03-25,16625430,16691520,16620330,16689230,16689230,3515
2012-03-26,16689520,16935520,16554430,16893410,16893410,92202
2012-03-27,16893680,16970030,16795170,16809710,16809710,84758
2012-03-28,16810310,16843700,16543430,16648520,16648520,98742
2012-03-29,16648520,16649470,16450970,16613790,16613790,86283
2012-03-30,16613520,16709210,16597470,16675640,16675640,82693
2012-04-01,16710320,16743600,16702140,16724520,16724520,2288
2012-04-02,16724520,16834520,16628320,16789520,16789520,76455
2012-04-03,16790520,16809120,16387620,16467130,16467130,92859
2012-04-04,16467290,16478920,16123350,16231730,16231730,110808
2012-04-05,16231730,16334170,16199680,16275140,16275140,65080
2012-04-08,16425710,16466260,16413090,16423710,16423710,6145
2012-04-09,16424180,16487020,16354210,16430960,16430960,70644
2012-04-10,16431230,16629520,16317970,16573880,16573880,102892
2012-04-11,16573710,16625170,16528480,16593520,16593520,87705
2012-04-12,16593520,16800130,16504520,16753830,16753830,85307
2012-04-13,16754000,16778560,16492480,16577640,16577640,86674
2012-04-15,16540220,16553060,16512440,16526610,16526610,3708
2012-04-16,16527520,16577470,16411520,16513740,16513740,89266
2012-04-17,16513720,16573470,16345480,16504370,16504370,83007
2012-04-18,16504370,16543110,16378620,16414720,16414720,87222
2012-04-19,16414320,16537520,16310000,16414090,16414090,93733
2012-04-20,16413920,16471220,16384140,16424640,16424640,66938
2012-04-22,16411520,16428520,16397620,16425870,16425870,1763
2012-04-23,16426460,16432070,16232140,16367380,16367380,89470
2012-04-24,16367720,16491800,16339600,16416120,16416120,79670
2012-04-25,16415870,16465680,16248640,16434520,16434520,88604
2012-04-26,16435520,16609470,16424520,16565550,16565550,84799
2012-04-27,16565710,16675520,16504360,16622640,16622640,76488
2012-04-29,16627270,16649360,16625360,16648810,16648810,1568
2012-04-30,16648970,16668520,16434570,16668370,16668370,65825
2012-05-01,16668470,16715020,16568860,16622630,16622630,52950
2012-05-02,16623010,16627500,16459200,16517490,16517490,74856
2012-05-03,16518520,16532520,16311480,16358100,16358100,75140
2012-05-04,16357520,16473520,16262520,16418140,16418140,72179
2012-05-06,16396570,16407620,16357020,16388420,16388420,4416
2012-05-07,16389030,16425960,16320220,16377120,16377120,72130
2012-05-08,16376350,16385660,15953470,16029520,16029520,94897
2012-05-09,16028680,16045030,15794120,15891100,15891100,107585
2012-05-10,15890870,16019720,15856330,15935150,15935150,83447
2012-05-11,15934810,15934880,15724650,15786650,15786650,82502
2012-05-13,15827220,15841320,15780520,15806520,15806520,3625
2012-05-14,15806720,15856520,15558150,15583610,15583610,88023
2012-05-15,15583290,15640880,15414560,15428590,15428590,88117
2012-05-16,15428520,15522420,15269250,15429020,15429020,108992
2012-05-17,15432500,15798030,15429890,15750970,15750970,107526
2012-05-18,15749580,15975780,15679330,15925150,15925150,112105
2012-05-20,15903630,15942520,15903130,15942520,15942520,2756
2012-05-21,15942520,15991440,15848130,15942970,15942970,90458
2012-05-22,15943130,15943520,15613790,15672650,15672650,102607
2012-05-23,15673540,15675870,15332940,15584870,15584870,130315
2012-05-24,15584870,15779080,15515570,15564520,15564520,115846
2012-05-25,15564520,15741330,15513340,15720760,15720760,96743
2012-05-27,15736530,15766150,15714500,15742860,15742860,3552
2012-05-28,15743040,15839440,15724690,15748630,15748630,57830
2012-05-29,15747930,15826530,15478330,15531240,15531240,108116
2012-05-30,15531070,15694520,15310150,15645230,15645230,116610
2012-05-31,15643520,15733330,15520010,15606730,15606730,112830
2012-06-01,15606730,16299350,15446220,16239140,16239140,125860
2012-06-03,16254130,16272320,16157430,16167160,16167160,6544
2012-06-04,16165820,16280800,16086520,16193670,16193670,105891
2012-06-05,16193490,16235690,16117640,16176990,16176990,100958
2012-06-06,16176980,16409430,16131120,16224090,16224090,116233
2012-06-07,16223660,16291130,15780220,15915990,15915990,124381
2012-06-08,15916150,15950520,15543210,15928150,15928150,111299
2012-06-10,16015530,16081210,15992500,16020360,16020360,6885
